index,county,fips,year,age,pop_female,pop_male,pop_total,Prob_Distr
0,ALAMEDA,606101,203818,5050,850450,822883,1673333,0.04179874385424079
1,ALPINE,558279,187674,4300,556,582,1138,2.842648206072911e-05
2,AMADOR,606505,203818,5050,17304,20097,37401,0.0009342520699062648
3,BUTTE,606707,203818,5050,114355,113457,227812,0.005690592030947996
4,CALAVERAS,606909,203818,5050,22510,22391,44901,0.0011215970747001738
5,COLUSA,607111,203818,5050,11106,11694,22800,0.000569528814573483
6,CONTRA COSTA,607313,203818,5050,590787,566110,1156897,0.02889851653480784
7,DEL NORTE,607515,203818,5050,12530,14576,27106,0.0006770898266591592
8,EL DORADO,607717,203818,5050,92614,93585,186199,0.004651127006349472
9,FRESNO,607919,203818,5050,505095,505777,1010872,0.025250909291470433
10,GLENN,608121,203818,5050,14498,14861,29359,0.0007333682660992495
11,HUMBOLDT,608323,203818,5050,68502,69005,137507,0.0034348332765594706
12,IMPERIAL,608525,203818,5050,94441,97405,191846,0.004792185305292299
13,INYO,608727,203818,5050,9268,9466,18734,0.00046796284264121184
14,KERN,608929,203818,5050,442140,465359,907499,0.022668720600729
15,KINGS,609131,203818,5050,68818,82857,151675,0.0037887404802821505
16,LAKE,609333,203818,5050,32715,32505,65220,0.0016291521616878316
17,LASSEN,609535,203818,5050,11591,19056,30647,0.0007655416482558568
18,LOS ANGELES,609737,203818,5050,5230817,5113721,10344538,0.25839966949343635
19,MADERA,609939,203818,5050,81897,77095,158992,0.003971514266959088
20,MARIN,610141,203818,5050,134181,131081,265262,0.0066260680882189145
21,MARIPOSA,610343,203818,5050,8980,9080,18060,0.0004511267715437326
22,MENDOCINO,610545,203818,5050,44731,44933,89664,0.0022397470013121395
23,MERCED,610747,203818,5050,138308,140913,279221,0.006974754611141338
24,MODOC,610949,203818,5050,4724,4670,9394,0.000234655863337864
25,MONO,562743,187674,4280,6542,7335,13877,0.00034663821753667647
26,MONTEREY,611353,203818,5050,218573,230900,449473,0.011227536178631014
27,NAPA,611555,203818,5050,71890,71721,143611,0.00358730713112774
28,NEVADA,611757,203818,5050,50063,49108,99171,0.002477225529388898
29,ORANGE,611959,203818,5050,1621532,1599566,3221098,0.08046088270022005
30,PLACER,612161,203818,5050,196236,189771,386007,0.009642197768730985
31,PLUMAS,606300,201800,4951,9708,9684,19392,0.0004843992443951308
32,RIVERSIDE,612565,203818,5050,1221487,1210216,2431703,0.06074232135898168
33,SACRAMENTO,612767,203818,5050,783588,758744,1542332,0.03852642612450654
34,SAN BENITO,612969,203818,5050,29582,29459,59041,0.0014748048570716232
35,SAN BERNARDINO,613171,203818,5050,1100935,1088828,2189763,0.054698821297669904
36,SAN DIEGO,613373,203818,5050,1666884,1686725,3353609,0.0837709192242528
37,SAN FRANCISCO,613575,203818,5050,438534,449382,887916,0.02217955030354512
38,SAN JOAQUIN,613777,203818,5050,380837,380246,761083,0.01901134643780834
39,SAN LUIS OBISPO,613979,203818,5050,138180,144598,282778,0.007063606102081595
40,SAN MATEO,614181,203818,5050,395638,385982,781620,0.01952434701960201
41,SANTA BARBARA,614383,203818,5050,225521,229684,455205,0.011370717720961505
42,SANTA CLARA,614585,203818,5050,977244,997096,1974340,0.049317698235307475
43,SANTA CRUZ,614787,203818,5050,140019,140359,280378,0.007003655700547545
44,SHASTA,614989,203818,5050,90832,87925,178757,0.004465230802925969
45,SIERRA,603009,199782,4860,1558,1579,3137,7.836017067179895e-05
46,SISKIYOU,615393,203818,5050,22233,22059,44292,0.0011063846603109084
47,SOLANO,615595,203818,5050,223203,221604,444807,0.01111098260631523
48,SONOMA,615797,203818,5050,259266,251664,510930,0.012762691106580248
49,STANISLAUS,615999,203818,5050,281478,277030,558508,0.013951157858324861
50,SUTTER,616201,203818,5050,50030,49770,99800,0.0024929375304576142
51,TEHAMA,616403,203818,5050,32547,31998,64545,0.0016122911112563798
52,TRINITY,616605,203818,5050,6577,6839,13416,0.0003351227445753442
53,TULARE,616807,203818,5050,238436,239803,478239,0.01194609169968456
54,TUOLUMNE,617009,203818,5050,26050,28087,54137,0.0013523062032703794
55,VENTURA,617211,203818,5050,433063,429837,862900,0.02155466728488853
56,YOLO,617413,203818,5050,114524,108924,223448,0.005581582217491913
57,YUBA,617615,203818,5050,38555,39148,77703,0.0019409691876668136
